Language,code,Samples,Glottocode,Genus,Subfamily,Family,Area,Type_wdef,Type_simp,Type_yn,Exist_Dem,Gender_Dem,Number_Dem,Case_Dem,Def_Dem,Person_Dem,Clf_Dem,Exist_Num,Gender_Num,Number_Num,Case_Num,Def_Num,Person_Num,Clf_Num,Exist_Adj,Gender_Adj,Number_Adj,Case_Adj,Def_Adj,Person_Adj,Clf_Adj,28A,49A,51A,33A,21A,34A,30A,31A,32A,55A,87A,88A,89A,86A,90A,81A,82A,83A
Comanche,cmn,"['WALS-174', 'WALS-200']",coma1245,Numic,,Uto-Aztecan,North America,mixed-subsective,mixed,concord,True,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,True,True,False,False,False,Core and non-core,3 cases,Case suffixes,Plural suffix,--,"Only human nouns, obligatory",None,No gender,No gender,--,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,Genitive-Noun,Noun-Relative clause,SOV,SV,OV
Hixkaryana,hix,"['WALS-174', 'WALS-200', 'WALS-100']",hixk1239,Cariban,,Cariban,South America,none,no concord,no concord,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,No case marking,No morphological case-marking,No case affixes or adpositional clitics,Plural word,No case,"Only human nouns, optional",Two,Non-sex-based,Semantic,Absent,Noun-Adjective,--,Numeral-Noun,Genitive-Noun,Noun-Relative clause,OVS,VS,OV
Maybrat,may,"['WALS-174', 'WALS-200', 'WALS-100', 'Hasp-100']",maib1239,North-Central Bird's Head,,West Papuan,Papunesia,indeterminate-1ft,indeterminate,concord,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,No case marking,2 cases,Case prefixes,No plural,No case,No nominal plural,Two,Sex-based,Semantic,Optional,Noun-Adjective,Noun-Demonstrative,Noun-Numeral,No dominant order,Noun-Relative clause,SVO,SV,VO
Oneida,ond,"['WALS-174', 'WALS-200', 'WALS-100']",onei1249,Northern Iroquoian,,Iroquoian,North America,none,no concord,no concord,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,--,No morphological case-marking,Case suffixes,Mixed morphological plural,No case,--,Three,Sex-based,Semantic,--,--,Demonstrative-Noun,--,No dominant order,Internally headed,No dominant order,VS,VO
Ainu,ain,"['WALS-174', 'WALS-200', 'Hasp-100']",ainu1240,Ainu,,Ainu,Eurasia,none,no concord,no concord,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,No case marking,Exclusively borderline case-marking,No case affixes or adpositional clitics,Plural suffix,--,"All nouns, always optional",None,No gender,No gender,Optional,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,Genitive-Noun,Relative clause-Noun,SOV,SV,OV
Irish,iri,"['WALS-174', 'WALS-200']",iris1253,Celtic,,Indo-European,Eurasia,indeterminate-1cat,indeterminate,concord,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,False,False,False,Core and non-core,2 cases,Mixed morphological case,Mixed morphological plural,--,"All nouns, always obligatory",--,--,--,--,Noun-Adjective,Noun-Demonstrative,Numeral-Noun,Noun-Genitive,Noun-Relative clause,VSO,VS,VO
Russian,rus,"['WALS-174', 'WALS-200', 'WALS-100']",russ1263,Slavic,,Indo-European,Eurasia,uniform,uniform,concord,True,True,True,True,False,False,False,True,True,True,True,False,False,False,True,True,True,True,False,False,False,Core and non-core,6-7 cases,Case suffixes,Plural suffix,Case + number,"All nouns, always obligatory",Three,Sex-based,Semantic and formal,Absent,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,Noun-Genitive,Noun-Relative clause,SVO,SV,VO
Mandarin,mnd,"['WALS-174', 'WALS-200', 'WALS-100']",mand1415,Chinese,,Sino-Tibetan,Eurasia,none,no concord,no concord,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,No case marking,No morphological case-marking,No case affixes or adpositional clitics,Plural suffix,Monoexponential case,"Only human nouns, optional",None,No gender,No gender,Obligatory,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,Genitive-Noun,Relative clause-Noun,SVO,SV,VO
Khoekhoe,kho,"['WALS-174', 'WALS-200', 'WALS-100']",nama1264,Khoe-Kwadi,,Khoe-Kwadi,Africa,indeterminate-1cat-Donly,indeterminate,concord,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,No case marking,2 cases,No case affixes or adpositional clitics,Plural suffix,Monoexponential case,--,Three,Sex-based,Semantic and formal,Absent,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,Genitive-Noun,Relative clause-Noun,SOV,SV,OV
Evenki,eve,"['WALS-174', 'WALS-200', 'Hasp-100']",even1259,Tungusic,,Altaic,Eurasia,mixed-subsective-demnodef,mixed,concord,True,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,True,True,True,False,False,No syncretism,10 or more cases,Case suffixes,Plural suffix,Case + referentiality,"All nouns, always obligatory",None,No gender,No gender,Absent,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,Genitive-Noun,Relative clause-Noun,SOV,SV,OV
